"date","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer","class"
0,2,0,0.056443,0.439155,0.003467,0.422915,0.414912,UP
0,2,0.021277,0.051699,0.415055,0.003467,0.422915,0.414912,UP
0,2,0.042553,0.051489,0.385004,0.003467,0.422915,0.414912,UP
0,2,0.06383,0.045485,0.314639,0.003467,0.422915,0.414912,UP
0,2,0.085106,0.042482,0.251116,0.003467,0.422915,0.414912,DOWN
0,2,0.106383,0.041161,0.207528,0.003467,0.422915,0.414912,DOWN
0,2,0.12766,0.041161,0.171824,0.003467,0.422915,0.414912,DOWN
0,2,0.148936,0.041161,0.152782,0.003467,0.422915,0.414912,DOWN
0,2,0.170213,0.041161,0.13493,0.003467,0.422915,0.414912,DOWN
0,2,0.191489,0.041161,0.140583,0.003467,0.422915,0.414912,DOWN
0,2,0.212766,0.044374,0.168997,0.003467,0.422915,0.414912,UP
0,2,0.234043,0.049868,0.212437,0.003467,0.422915,0.414912,UP
0,2,0.255319,0.051489,0.298721,0.003467,0.422915,0.414912,UP
0,2,0.276596,0.042482,0.39036,0.003467,0.422915,0.414912,DOWN
0,2,0.297872,0.040861,0.402261,0.003467,0.422915,0.414912,DOWN
0,2,0.319149,0.040711,0.462214,0.003467,0.422915,0.414912,DOWN
0,2,0.340426,0.040861,0.488248,0.003467,0.422915,0.414912,DOWN
0,2,0.361702,0.040711,0.493306,0.003467,0.422915,0.414912,DOWN
0,2,0.382979,0.041041,0.53258,0.003467,0.422915,0.414912,DOWN
0,2,0.404255,0.041161,0.546415,0.003467,0.422915,0.414912,DOWN
0,2,0.425532,0.044374,0.53496,0.003467,0.422915,0.414912,UP
0,2,0.446809,0.044374,0.51681,0.003467,0.422915,0.414912,UP
0,2,0.468085,0.044374,0.513984,0.003467,0.422915,0.414912,UP
0,2,0.489362,0.045485,0.513835,0.003467,0.422915,0.414912,UP
0,2,0.510638,0.044374,0.505356,0.003467,0.422915,0.414912,UP
0,2,0.531915,0.044374,0.497917,0.003467,0.422915,0.414912,UP
0,2,0.553191,0.042482,0.499554,0.003467,0.422915,0.414912,DOWN
0,2,0.574468,0.044374,0.491669,0.003467,0.422915,0.414912,UP
0,2,0.595745,0.044374,0.489735,0.003467,0.422915,0.414912,UP
0,2,0.617021,0.042482,0.47709,0.003467,0.422915,0.414912,DOWN
0,2,0.638298,0.040861,0.466825,0.003467,0.422915,0.414912,DOWN
0,2,0.659574,0.041161,0.478132,0.003467,0.422915,0.414912,DOWN
0,2,0.680851,0.041161,0.484975,0.003467,0.422915,0.414912,DOWN
0,2,0.702128,0.041161,0.503124,0.003467,0.422915,0.414912,DOWN
0,2,0.723404,0.042482,0.55296,0.003467,0.422915,0.414912,DOWN
0,2,0.744681,0.044374,0.612318,0.003467,0.422915,0.414912,UP
0,2,0.765957,0.041041,0.587623,0.003467,0.422915,0.414912,DOWN
0,2,0.787234,0.040711,0.546861,0.003467,0.422915,0.414912,DOWN
0,2,0.808511,0.040711,0.497025,0.003467,0.422915,0.414912,DOWN
0,2,0.829787,0.040861,0.470693,0.003467,0.422915,0.414912,DOWN
0,2,0.851064,0.041041,0.446296,0.003467,0.422915,0.414912,DOWN
0,2,0.87234,0.042482,0.412229,0.003467,0.422915,0.414912,DOWN
0,2,0.893617,0.041161,0.368789,0.003467,0.422915,0.414912,DOWN
0,2,0.914894,0.051489,0.34573,0.003467,0.422915,0.414912,UP
0,2,0.93617,0.056443,0.40479,0.003467,0.422915,0.414912,UP
0,2,0.957447,0.054642,0.42889,0.003467,0.422915,0.414912,UP
0,2,0.978723,0.059235,0.445254,0.003467,0.422915,0.414912,UP
0,2,1,0.054642,0.44094,0.003467,0.422915,0.414912,UP
0.000044,3,0,0.059235,0.442874,0.003467,0.422915,0.414912,UP
0.000044,3,0.021277,0.056443,0.41089,0.003467,0.422915,0.414912,UP
0.000044,3,0.042553,0.051489,0.378905,0.003467,0.422915,0.414912,UP
0.000044,3,0.06383,0.044374,0.316721,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.085106,0.041041,0.257959,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.106383,0.041161,0.214073,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.12766,0.041161,0.178816,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.148936,0.040951,0.151889,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.170213,0.041011,0.1385,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.191489,0.041041,0.142071,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.212766,0.042482,0.171675,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.234043,0.051489,0.214519,0.003467,0.422915,0.414912,UP
0.000044,3,0.255319,0.051489,0.30244,0.003467,0.422915,0.414912,UP
0.000044,3,0.276596,0.051489,0.393038,0.003467,0.422915,0.414912,UP
0.000044,3,0.297872,0.040861,0.395567,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.319149,0.040861,0.456561,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.340426,0.040861,0.487504,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.361702,0.040861,0.488991,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.382979,0.041041,0.52886,0.003467,0.422915,0.414912,DOWN
0.000044,3,0.404255,0.041041,0.533323,0.003467,0.422915,0.414912,DOWN
